,Category,Code,,Case,Text,Coder,Date,Words,% Words,Comment,Variable
,efectos,evacuados,, Más de 4000 personas evacuadas y 32 cortes de rutas - ECOS UY,"""El número de personas desplazadas totaliza 4.031, entre evacuados y quienes salieron de sus viviendas por su propia voluntad y medios"", afirmó hoy el",Admin,29/4/2020,25,"11,20%",,DOCUMENT
,respuestas,ayuda damnificados,, Más de 4000 personas evacuadas y 32 cortes de rutas - ECOS UY,Nacional de Emergencias (Sinae).,Admin,29/4/2020,4,"1,80%",,DOCUMENT
,eventos meteorológicos,lluvia,, Más de 4000 personas evacuadas y 32 cortes de rutas - ECOS UY,"Hasta ayer debido a las abundantes lluvias caídas durante las últimas horas, hay un total de 3.623 personas desplazadas en 13 departamentos del país, según el último comunicado emitido por el Sistema Nacional de Emergencia (Sinae) a las 18:00 hora",Admin,29/4/2020,42,"18,80%",,DOCUMENT
,efectos,inundación,, Más de 4000 personas evacuadas y 32 cortes de rutas - ECOS UY,"Hasta ayer debido a las abundantes lluvias caídas durante las últimas horas, hay un total de 3.623 personas desplazadas en 13 departamentos del país, según el último comunicado emitido por el Sistema Nacional de Emergencia (Sinae) a las 18:00 horas",Admin,29/4/2020,42,"18,80%",,DOCUMENT
,efectos,evacuados,, Más de 4000 personas evacuadas y 32 cortes de rutas - ECOS UY,"Hasta ayer debido a las abundantes lluvias caídas durante las últimas horas, hay un total de 3.623 personas desplazadas en 13 departamentos del país, según el último comunicado emitido por el Sistema Nacional de Emergencia (Sinae) a las 18:00 horas.",Admin,29/4/2020,42,"18,80%",,DOCUMENT
,efectos,evacuados,, Más de 4000 personas evacuadas y 32 cortes de rutas - ECOS UY,"De ese total de desplazados, 1280 son evacuados y 2343 son autoevacuados.",Admin,29/4/2020,12,"5,40%",,DOCUMENT
,efectos,inundación,, Más de 4000 personas evacuadas y 32 cortes de rutas - ECOS UY,"De ese total de desplazados, 1280 son evacuados y 2343 son autoevacuados.",Admin,29/4/2020,12,"5,40%",,DOCUMENT
,efectos,evacuados,, Más de 4000 personas evacuadas y 32 cortes de rutas - ECOS UY,"De ese total de desplazados, 1280 son evacuados y 2343 son autoevacuados.",Admin,29/4/2020,12,"5,40%",,DOCUMENT
,efectos,inundación,, Más de 4000 personas evacuadas y 32 cortes de rutas - ECOS UY,"De ese total de desplazados, 1280 son evacuados y 2343 son autoevacuados.",Admin,29/4/2020,12,"5,40%",,DOCUMENT
,eventos meteorológicos,tormenta,, Meteorología baja nivel de riesgo a amarillo en cinco departamentos - ECOS UY,"Se prevé actividad eléctrica, ocasionales granizadas, rachas de viento fuerte entre 60 - 75 km/h y precipitaciones puntualmente abundantes (entre 20-50 mm en 6 hs.)",Admin,29/4/2020,26,"21,30%",,DOCUMENT
,eventos meteorológicos,viento,, Meteorología baja nivel de riesgo a amarillo en cinco departamentos - ECOS UY,"Se prevé actividad eléctrica, ocasionales granizadas, rachas de viento fuerte entre 60 - 75 km/h y precipitaciones puntualmente abundantes (entre 20-50 mm en 6 hs.).",Admin,29/4/2020,26,"21,30%",,DOCUMENT
,eventos meteorológicos,lluvia,, Meteorología baja nivel de riesgo a amarillo en cinco departamentos - ECOS UY,"Se prevé actividad eléctrica, ocasionales granizadas, rachas de viento fuerte entre 60 - 75 km/h y precipitaciones puntualmente abundantes (entre 20-50 mm en 6 hs.).",Admin,29/4/2020,26,"21,30%",,DOCUMENT
,eventos meteorológicos,viento,," Meteorólogos de Brasil alertan por turbonadas y lluvias diluviales para fin de semana y el lunes de Carnaval - Noticias Uruguay, LARED21 Diario Digita","Al final habrá o no tormentas y viento,no entiendo si el informe es viejo o no.aclaren bien porque da a confusión.gracias",Admin,29/4/2020,24,"7,70%",,DOCUMENT
,eventos meteorológicos,tormenta,," Meteorólogos de Brasil alertan por turbonadas y lluvias diluviales para fin de semana y el lunes de Carnaval - Noticias Uruguay, LARED21 Diario Digita","Al final habrá o no tormentas y viento,no entiendo si el informe es viejo o no.aclaren bien porque da a confusión.gracias",Admin,29/4/2020,24,"7,70%",,DOCUMENT
,eventos meteorológicos,viento,," Meteorólogos de Brasil alertan por turbonadas y lluvias diluviales para fin de semana y el lunes de Carnaval - Noticias Uruguay, LARED21 Diario Digita",Eso que dan es del 2016. Entren a metsul por face y la noticia es actual y abajo aclara que la gente divulgó una noticia del 2014. Algo de lluvia y algo de viento va a venir parece q no muy fuertes.,Admin,29/4/2020,42,"13,50%",,DOCUMENT
,eventos meteorológicos,viento,," Meteorólogos de Brasil alertan por turbonadas y lluvias diluviales para fin de semana y el lunes de Carnaval - Noticias Uruguay, LARED21 Diario Digita",Eso que dan es del 2016. Entren a metsul por face y la noticia es actual y abajo aclara que la gente divulgó una noticia del 2014. Algo de lluvia y algo de viento va a venir parece q no muy fuertes.,Admin,29/4/2020,42,"13,50%",,DOCUMENT
,respuestas,ayuda damnificados,, Presidente Vázquez escucha a los vecinos y recorre centro de evacuados - ECOS UY,? recorre centro de evacuados,Admin,29/4/2020,4,"1,90%",,DOCUMENT
,efectos,evacuados,, Presidente Vázquez escucha a los vecinos y recorre centro de evacuados - ECOS UY,"Luego recorrió el Estadio Cerrados de Dolores donde se encuentran alojados los evacuados. También llegó hasta el Hospital, en donde se le informó que el PIT-",Admin,29/4/2020,26,"12,60%",,DOCUMENT
,respuestas,ayuda damnificados,, Presidente Vázquez escucha a los vecinos y recorre centro de evacuados - ECOS UY,"Luego recorrió el Estadio Cerrados de Dolores donde se encuentran alojados los evacuados. También llegó hasta el Hospital, en donde se le informó que el PIT-",Admin,29/4/2020,26,"12,60%",,DOCUMENT
,efectos,inundación,, Son 10290 desplazados en todo el país y 41 cortes de rutas - ECOS UY,Son 10290 desplazados en todo el país y 41 cortes de rutas - ECOS UY cuatro en el resto del país es la triste cifra luego de la crítica situación meteorológica.,Admin,29/4/2020,30,"13,80%",,DOCUMENT
,efectos,evacuados,, Son 10290 desplazados en todo el país y 41 cortes de rutas - ECOS UY,Son 10290 desplazados en todo el país y 41 cortes de rutas - ECOS UY cuatro en el resto del país es la triste cifra luego de la crítica situación meteorológica.,Admin,29/4/2020,30,"13,80%",,DOCUMENT
,efectos,inundación,, Son 10290 desplazados en todo el país y 41 cortes de rutas - ECOS UY,"""De ese total de personas desplazadas 2.643 son evacuados y 7.647 son autoevacuados"".",Admin,29/4/2020,15,"6,90%",,DOCUMENT
,efectos,evacuados,, Son 10290 desplazados en todo el país y 41 cortes de rutas - ECOS UY,"""De ese total de personas desplazadas 2.643 son evacuados y 7.647 son autoevacuados"".",Admin,29/4/2020,15,"6,90%",,DOCUMENT
,efectos,evacuados,, Son 10290 desplazados en todo el país y 41 cortes de rutas - ECOS UY,Son 10290 desplazados en todo el país y 41 cortes de rutas - ECOS UY © 2020 | Ecos. Todos los derechos reservados.,Admin,29/4/2020,20,"9,20%",,DOCUMENT
,efectos,inundación,, Son 10290 desplazados en todo el país y 41 cortes de rutas - ECOS UY,Son 10290 desplazados en todo el país y 41 cortes de rutas - ECOS UY © 2020 | Ecos. Todos los derechos reservados.,Admin,29/4/2020,20,"9,20%",,DOCUMENT
,respuestas,soluciones ciudad,, Tornado e inundaciones en realidad costarán 350 millones de dólares - ECOS UY,"El Consejo de Ministros está a partir de hoy en ""sesión permanente"". Así lo anunció el mandatario al informar los resultados de la reunión ministerial especial de este sábado, que definió los criterios a aplicar para la ayuda a la reconstrucción de amplias zonas del país.",Admin,29/4/2020,46,"19,80%",,DOCUMENT
,respuestas,ayuda damnificados,, Tornado e inundaciones en realidad costarán 350 millones de dólares - ECOS UY,"El Consejo de Ministros está a partir de hoy en ""sesión permanente"". Así lo anunció el mandatario al informar los resultados de la reunión ministerial especial de este sábado, que definió los criterios a aplicar para la ayuda a la reconstrucción de amplias zonas del país.",Admin,29/4/2020,46,"19,80%",,DOCUMENT
,respuestas,ayuda damnificados,, Vázquez anunció compra de radares para predecir fenómenos naturales - ECOS UY,El presidente Tabaré Vázquez recorrió hoy la ciudad de San Ramón con el objetivo de conocer cómo se estaban implementando las medidas preventivas ante la posible crecida del Río Santa Lucía. Así como visitó a los evacuados afectados por las intensas lluvias de los últimos día,Admin,29/4/2020,46,"19,20%",,DOCUMENT
,eventos meteorológicos,lluvia,, Vázquez anunció compra de radares para predecir fenómenos naturales - ECOS UY,El presidente Tabaré Vázquez recorrió hoy la ciudad de San Ramón con el objetivo de conocer cómo se estaban implementando las medidas preventivas ante la posible crecida del Río Santa Lucía. Así como visitó a los evacuados afectados por las intensas lluvias de los últimos días,Admin,29/4/2020,46,"19,20%",,DOCUMENT
,efectos,inundación,, Vázquez anunció compra de radares para predecir fenómenos naturales - ECOS UY,El presidente Tabaré Vázquez recorrió hoy la ciudad de San Ramón con el objetivo de conocer cómo se estaban implementando las medidas preventivas ante la posible crecida del Río Santa Lucía. Así como visitó a los evacuados afectados por las intensas lluvias de los últimos días.,Admin,29/4/2020,46,"19,20%",,DOCUMENT
,efectos,evacuados,, Vázquez anunció compra de radares para predecir fenómenos naturales - ECOS UY,El presidente Tabaré Vázquez recorrió hoy la ciudad de San Ramón con el objetivo de conocer cómo se estaban implementando las medidas preventivas ante la posible crecida del Río Santa Lucía. Así como visitó a los evacuados afectados por las intensas lluvias de los últimos días.,Admin,29/4/2020,46,"19,20%",,DOCUMENT
