,CATEGORIA,CODIGO,TEXTO
133,eventos meteorológicos,viento,"El viernes la máxima ser á de 20 gr ados y la mínima de 16, con cielo nuboso y cubierto, pr ecipitaciones escasas. Las r achas de viento alcanzar án los 50 km/h."
134,eventos meteorológicos,viento,"Parte del techo del Mer cado Modelo se voló por el viento de esta madrugada. ""Cayer on chapas, hay vigas colgando y se per dió mer cadería"", dijo a Monte video Portal Alfr edo Pér e z, pr esidente de la Comisión Administr ador a del Mer cado"
135,eventos meteorológicos,viento,"El Instituto Uruguayo de Meteor ología mantiene su advertencia por tormentas fuertes y lluvias intensas par a parte del país. Se esper an lluvias intensas en cortos períodos, ocasional caída de gr anizo, intensa actividad eléctrica y r achas de viento fuertes."
136,eventos meteorológicos,viento,"En efecto, según detalló el Inumet, ya este miér coles se esper an r achas de viento de entr e 50 y 60 kilómetr os por hor a y"
137,eventos meteorológicos,viento,"Una fuerte tormenta eléctrica con lluvia y viento azotó al país esta madrugada y, al menos en Monte video, hubo daños como la caída de algunas r amas de árboles. T al es así que la Intendencia de Monte video advirtió de calles cortadas por"
138,eventos meteorológicos,viento,VIENTO DILE A LA LLUVIA
139,eventos meteorológicos,viento,"El alcalde indicó que el viento sí gener ó destr o zos en árboles y columnas de la ciudad. Algunas, a su ve z, cayer on sobr e cables del tendido eléctrico, interrumpiendo el servicio de UTE a varias familias."
140,eventos meteorológicos,viento,"""Cabe destacar que en zonas de tormentas se podrán registrar lluvias intensas en cortos períodos, ocasional caída de granizo, intensa actividad eléctrica y rachas de viento fuertes"", informó Inumet."
141,eventos meteorológicos,viento,"Tormentas aisladas y persistencia de lluvias, en forma intensa por periodos cortos de tiempo, con posible actividad eléctrica y rachas de viento fuertes, pronostica el Instituto Uruguayo de Meteorología para la mañana de este viernes con una alerta amarilla en siete departamentos del país"
142,eventos meteorológicos,viento,"""precipitaciones y tormentas"" y ""rachas fuertes"" de viento asociadas a las tormentas."
143,eventos meteorológicos,viento,"La meteoróloga explicó que las imágenes satelitales mostraron que el ciclón extratropical comenzó a formarse en la pasada jornada en la zona oceánica frente al litoral oeste de la provincia de Buenos Aires en Argentina. En la mañana de este miércoles las rachas de viento comenzaron a tener contacto con el territorio uruguayo, pero un estancamiento del mismo hizo que su llegada se demorara."
