,CATEGORIA,CODIGO,TEXTO
68,eventos meteorológicos,tormenta,"?Meteorología: ""tormentas intensas"""
69,eventos meteorológicos,tormenta,?Meteorología: tormentas para el viernes
70,eventos meteorológicos,tormenta,?Nivel amarillo por tormentas. Primavera entra el jueves a las 00:09
71,eventos meteorológicos,tormenta,?Tormentas para el fin de semana
72,eventos meteorológicos,tormenta,?Viernes: pronóstico de tormentas
73,eventos meteorológicos,tormenta,?Alerta naranja por fuertes tormentas
74,eventos meteorológicos,tormenta,Pou participó del acto por el 209 aniversario del Ejército
75,eventos meteorológicos,tormenta,?Meteorología: tormentas hacia la noche
76,eventos meteorológicos,tormenta,?Tormentas y lluvias abundantes
77,eventos meteorológicos,tormenta,?Alerta Amarilla por tormentas y abundantes lluvias
78,eventos meteorológicos,tormenta,Pou participó del acto por el 209 aniversario del Ejército
79,eventos meteorológicos,tormenta,?Pronóstico de tormentas
80,eventos meteorológicos,tormenta,?Tormentas intensas y frío el fin de semana
81,eventos meteorológicos,tormenta,?Advertencia amarilla por tormentas intensas
82,eventos meteorológicos,tormenta,Calor y tormentas este domingo
83,eventos meteorológicos,tormenta,?Nueva alerta amarilla por tormentas
84,eventos meteorológicos,tormenta,Postales de una tormenta montevideana
85,eventos meteorológicos,tormenta,? 100 evacuados por tormentas
86,eventos meteorológicos,tormenta,?Advertencia amarilla por tormentas
87,eventos meteorológicos,tormenta,?Alerta Naranja por tormentas
88,eventos meteorológicos,tormenta,?Alerta por tormenta y vientos
89,eventos meteorológicos,tormenta,Recomendaciones del SINAE
90,eventos meteorológicos,tormenta,?Anuncian aumento de temperatura y tormentas
91,eventos meteorológicos,tormenta,?Nueva tormenta el viernes
92,eventos meteorológicos,tormenta,?Reafirman pronóstico de fuerte tormenta
93,eventos meteorológicos,tormenta,?Advertencia amarilla por tormentas
94,eventos meteorológicos,tormenta,?Advertencia por tormentas intensas
95,eventos meteorológicos,tormenta,?Alerta amarilla por tormentas intensas
96,eventos meteorológicos,tormenta,?Alerta por calor y tormentas
97,eventos meteorológicos,tormenta,?Meteorología prevé lluvias y tormentas hasta el martes
98,eventos meteorológicos,tormenta,?Meteorología: tormentas intensas
99,eventos meteorológicos,tormenta,?Precipitaciones y tormentas aisladas hasta el martes
100,eventos meteorológicos,tormenta,?Advertencia Amarilla por tormentas hasta las 12:00 del miércoles
101,eventos meteorológicos,tormenta,?Advertencia Amarilla por tormentas
102,eventos meteorológicos,tormenta,?Advertencia amarilla por vientos y tormentas
103,eventos meteorológicos,tormenta,?Advertencia de Nivel Amarillo para el norte por tormentas intensas
104,eventos meteorológicos,tormenta,?Advertencia de nivel amarillo por lluvias abundantes y tormentas
105,eventos meteorológicos,tormenta,?Advertencia de nivel amarillo por tormentas
106,eventos meteorológicos,tormenta,?Advertencia de Nivel Naranja por tormentas
107,eventos meteorológicos,tormenta,?Advertencia naranja por tormentas fuertes y copiosas
108,eventos meteorológicos,tormenta,?Aviso de fuertes tormentas
109,eventos meteorológicos,tormenta,?Aviso especial por tormentas fuertes
110,eventos meteorológicos,tormenta,?Descendió a 81 el número de evacuados por tormentas
111,eventos meteorológicos,tormenta,?Descendió a 81 el número de evacuados por tormentas
112,eventos meteorológicos,tormenta,"?Domingo: tormentas, lluvia y fuertes vientos"
113,eventos meteorológicos,tormenta,?Fin de año con precipitaciones y tormentas
114,eventos meteorológicos,tormenta,?Pronostican lluvia y tormentas para el fin de semana
115,eventos meteorológicos,tormenta,?Riesgo amarillo: tormentas intensas en norte y este del país
116,eventos meteorológicos,tormenta,?Salinas fue la zona más afectada por tormentas
117,eventos meteorológicos,tormenta,Salinas fue la zona más afectada por tormentas
118,eventos meteorológicos,tormenta,?Sigue advertencia Amarilla por vientos y tormentas
119,eventos meteorológicos,tormenta,?Sigue advertencia por tormentas intensas
120,eventos meteorológicos,tormenta,?Tormentas generan menos problemas de los esperados en elecciones
121,eventos meteorológicos,tormenta,?Tormentas para año nuevo
122,eventos meteorológicos,tormenta,?Tormentas para martes y miércoles
123,eventos meteorológicos,tormenta,Tormentas para martes y miércoles
124,eventos meteorológicos,tormenta,Ola de calor
125,eventos meteorológicos,tormenta,El INUMET anuncia aumento de nubosidad con pr ecipitaciones y pr obables tormentas hacia la tar de-noche. La máxima ser á de 32 gr ados.
126,eventos meteorológicos,tormenta,Consejos de guar davidas ante tormentas eléctricas
127,eventos meteorológicos,tormenta,"Dur ante todo el viernes rigió una advertencia nar anja par a gr an parte del país por tormentas fuertes. A partir de las 20:30, el nivel de riesgo fue nar anja par a Artigas, Salto, River a, T acuar embó y Cerr o Lar go y amarillo par a Paysandú, Dur azno,"
128,eventos meteorológicos,tormenta,"Este domingo la temper atur a ir á en ascenso y llegar á a 35º en la capital, anuncian tormentas se ver as y lluvias dispersas."
