,Category,Code,Case,Text,Coder,Date,Words,% Words,Comment,Variable
23,eventos meteorológicos,lluvia," SE REGISTRÓ UN TOTAL DE 1212 EVACUADOS POR LAS LLUVIAS, EN TODO EL PAÍS_22_05_03","SE REGISTRÓ UN TOTAL DE 1212 EVACUADOS  P OR LAS LLUVIAS, EN TOD O EL PAÍ S",Admin,6/9/2020,17,"1,30%",,DOCUMENT
24,efectos,rutas cortadas," SE REGISTRÓ UN TOTAL DE 1212 EVACUADOS POR LAS LLUVIAS, EN TODO EL PAÍS_22_05_03","En Guichó n ,  l a  r u t a  4  e s t á cortada a la altu r a  d e l  r ío Queguay y en Durazno la ruta 6 está  c o r t a d a  a  l a  a l t u r a  d e l  k i l ómetro 200. En Rocha, la crecida del rí o  C e b o l l a t í no permite el paso en ruta 14 y tambié n  e s t á cortada la ruta 16 en el kiló m e t r o  3 .",Admin,6/9/2020,100,"7,80%",,DOCUMENT
25,Actores,Intendencia, SE VIENE EL INVIERNO,La explicació n  c i e n t í?ca del fenó m e n o  s e  d e b e  a  q u e  p o r  e l  t e r r i t o r i o  u r u g u a y o esta circulando un sistema de alta presió n  d e  trayectoria continental con vientos suaves cuyas caracterí s t i c a s  s o n  b u e n  t i e m p o  y  d e s c e n s o s  d e  l a  t e m p e r a t u r a  e n  l a noche,Admin,6/9/2020,115,"11,10%",,DOCUMENT
26,eventos meteorológicos,ola de frío, SE VIENE EL INVIERNO,La explicació n  c i e n t í?ca del fenó m e n o  s e  d e b e  a  q u e  p o r  e l  t e r r i t o r i o  u r u g u a y o esta circulando un sistema de alta presió n  d e  trayectoria continental con vientos suaves cuyas caracterí s t i c a s  s o n  b u e n  t i e m p o  y  d e s c e n s o s  d e  l a  t e m p e r a t u r a  e n  l a noche.,Admin,6/9/2020,115,"11,10%",,DOCUMENT
27,eventos meteorológicos,viento, SE VIENE EL INVIERNO,La explicació n  c i e n t í?ca del fenó m e n o  s e  d e b e  a  q u e  p o r  e l  t e r r i t o r i o  u r u g u a y o esta circulando un sistema de alta presió n  d e  trayectoria continental con vientos suaves cuyas caracterí s t i c a s  s o n  b u e n  t i e m p o  y  d e s c e n s o s  d e  l a  t e m p e r a t u r a  e n  l a noche.,Admin,6/9/2020,115,"11,10%",,DOCUMENT
28,eventos meteorológicos,tormenta, SE VIENE LA TORMENTA DEL VERANO_17_01_03,"E l   ú l t i m o   b o l e t í n   de   l a   D i r e c c i ó n   N a c i o n a l   d e   M e t e o r o l o g í a   i n d i c a   q u e   e l tiempo se presentó  c a l u r o s o  c o n  c i e l o  a l g o  n u b o s o  y  n u b o s o .  C o n tormentas y lluvias aislada s .  L a  s i t u a c i ón sinó p t i c a  m u e s t r a  u n  b o r d e occide n t a l  de sistema de  a l t a  p r e s i ón que cubre al paí s ,  m i e n t r a s  u n  f r e n t e f r í o   s e   a p r o x i m a   p o r   e l   S W .   T o da v í a   n o   s e   d e s c a r t a n   l a s   t o r m e n t a s   y   h a s t a se habla de  g r a n i z a das.",Admin,6/9/2020,242,"19,60%",,DOCUMENT
29,eventos meteorológicos,lluvia, SE VIENE LA TORMENTA DEL VERANO_17_01_03,"E l   ú l t i m o   b o l e t í n   de   l a   D i r e c c i ó n   N a c i o n a l   d e   M e t e o r o l o g í a   i n d i c a   q u e   e l tiempo se presentó  c a l u r o s o  c o n  c i e l o  a l g o  n u b o s o  y  n u b o s o .  C o n tormentas y lluvias aislada s .  L a  s i t u a c i ón sinó p t i c a  m u e s t r a  u n  b o r d e occide n t a l  de sistema de  a l t a  p r e s i ón que cubre al paí s ,  m i e n t r a s  u n  f r e n t e f r í o   s e   a p r o x i m a   p o r   e l   S W .   T o da v í a   n o   s e   d e s c a r t a n   l a s   t o r m e n t a s   y   h a s t a se habla de  g r a n i z a das.",Admin,6/9/2020,242,"19,60%",,DOCUMENT
30,eventos meteorológicos,viento, SE VIENE LA TORMENTA DEL VERANO_17_01_03,Vientos: Del sector Sur moderados y algo fuertes. Rachas fuertes en zonas de tormentas.,Admin,6/9/2020,14,"1,10%",,DOCUMENT
31,eventos meteorológicos,viento, ADVERTENCIA METEOROLÓGICA DE - 10 GRADOS,"S e g ú n   l a   D i r e c c i ó n   N a c i o n a l   de   M e t e o r o l o g í a   c o n   l o s   f u e r t e s   v i e n t o s   d e estos días se vivirá n  s e n s a c i o n e s  t érmicas de hasta 10º  b a j o  c e r o .  S i  b i e n en el invierno, se habí a n  r e g s i t r a d o  t e m p e r a t u r a s  b a j o  c e r o ,  n u n c a  h a b ían llegado  a c o m p a ñada s  de vientos tan fuertes.",Admin,6/9/2020,153,"13,10%",,DOCUMENT
32,eventos meteorológicos,tormenta, ADVERTENCIA METEOROLÓGICA,"El Servicio Nacional de  Meteorologí a  e m i t i ó una advertencia meteoroló g i c a para las pró x i m a s  h o r a s  c a r g a da de tormentas de fuerte intensidad, precipitaciones abunda n t e s  c o n  p r o b a b l e s  g r a n i z a d a s  y  r a c h a s  m u y  f u e r t e s de   v i e n t o   a s o c i a do s   a   l a s   t o r m e n t a s .",Admin,6/9/2020,116,"17,40%",,DOCUMENT
